dept_name,state_name,state,has_email_address,searched,population,state_fips,state_population_2020,state_dept_count,contacted_dept_count,pop_served,state_dept_count_7500,contacted_dept_count_7500,per_contacted,per_contacted_7500,per_pop,prop_contacted_bin,prop_contacted_7500_bin,prop_pop_bin,dept_count_bin
Natchez Police Department,Mississippi,MS,1,1,14917,28,2966786,146,26,729988,48,26,0.1780821917808219,0.5416666666666666,0.24605347335466732,7-20%,28-45%,11-29%,6-39
Great Falls Police Department,Montana,MT,1,1,58637,30,1080577,66,8,370630,11,8,0.12121212121212122,0.7272727272727273,0.34299267891135937,7-20%,28-45%,11-29%,6-39
Hastings Police Department,Nebraska,NE,1,1,24778,31,1937552,134,20,1129067,21,20,0.14925373134328357,0.9523809523809524,0.5827286183803067,7-20%,28-45%,11-29%,6-39
Burlington Police Department,North Carolina,NC,1,1,54108,37,10600823,396,46,2443476,101,46,0.11616161616161616,0.45544554455445546,0.23049870750601156,7-20%,28-45%,11-29%,6-39
Bismarck Police Department,North Dakota,ND,1,1,74705,38,765309,74,8,400135,11,8,0.10810810810810811,0.7272727272727273,0.5228411007841277,7-20%,28-45%,11-29%,6-39
laconia police department,New Hampshire,NH,0,0,16534,33,1366275,213,22,415486,40,22,0.10328638497652584,0.55,0.3041012973230133,7-20%,28-45%,11-29%,6-39
absecon police,New Jersey,NJ,0,0,8436,34,8882371,509,138,3535334,298,131,0.27111984282907664,0.4395973154362416,0.3980169258861176,7-20%,28-45%,11-29%,6-39
Albuquerque Police Department,New Mexico,NM,1,1,561920,35,2106319,77,20,1049433,27,20,0.2597402597402597,0.7407407407407407,0.4982307997981312,7-20%,28-45%,11-29%,6-39
fallon police department,Nevada,NV,0,1,8478,32,3138259,17,8,2642761,10,8,0.4705882352941176,0.8,0.8421105460065597,7-20%,28-45%,11-29%,6-39
Albany Police Department,New York,NY,1,1,97221,36,19336776,609,84,3771555,210,74,0.13793103448275862,0.3523809523809524,0.19504569944855335,7-20%,28-45%,11-29%,6-39
lima police department,Ohio,OH,0,0,36653,39,11693217,749,132,3150189,252,113,0.1762349799732977,0.4484126984126984,0.2694031078017281,7-20%,28-45%,11-29%,6-39
elk city police department,Oklahoma,OK,0,0,11509,40,3980783,324,28,1012577,56,26,0.08641975308641975,0.4642857142857143,0.2543662892451058,7-20%,28-45%,11-29%,6-39
Baker City Police Department,Oregon,OR,1,1,9750,41,4241507,167,36,1720287,63,35,0.2155688622754491,0.5555555555555556,0.40558391156728024,7-20%,28-45%,11-29%,6-39
gettysburg borough police department,Pennsylvania,PA,0,0,7732,42,12783254,1298,113,3808078,340,101,0.08705701078582434,0.29705882352941176,0.2978958252726575,7-20%,28-45%,11-29%,6-39
Barrington Police Department,Rhode Island,RI,1,1,16090,44,1057125,39,18,606144,33,18,0.4615384615384616,0.5454545454545454,0.5733891450869103,7-20%,28-45%,11-29%,6-39
Aiken Police Department,South Carolina,SC,1,1,30922,45,5218040,215,24,747744,49,23,0.11162790697674418,0.4693877551020408,0.14329978306030616,7-20%,28-45%,11-29%,6-39
Huron Police Department,South Dakota,SD,1,1,13840,46,892717,105,9,198300,14,9,0.08571428571428572,0.6428571428571429,0.2221308656606741,7-20%,28-45%,11-29%,6-39
clinton police department,Tennessee,TN,0,0,10062,47,6886834,269,29,1714881,70,29,0.10780669144981413,0.4142857142857143,0.2490086155699411,7-20%,28-45%,11-29%,6-39
Palestine Police Department,Texas,TX,1,1,18062,48,29360759,753,130,13189416,283,128,0.17264276228419656,0.45229681978798586,0.4492191772017883,7-20%,28-45%,11-29%,6-39
Brigham City Police Department,Utah,UT,1,1,19592,49,3249879,119,21,594696,64,21,0.17647058823529413,0.328125,0.18299019748119852,7-20%,28-45%,11-29%,6-39
albemarle county police department,Virginia,VA,0,0,109340,51,8590563,173,20,1670451,58,20,0.11560693641618495,0.3448275862068966,0.1944518653783227,7-20%,28-45%,11-29%,6-39
middlebury police dept.,Vermont,VT,0,1,8776,50,623347,61,13,199090,15,13,0.21311475409836064,0.8666666666666667,0.31938871928476437,7-20%,28-45%,11-29%,6-39
othello police department,Washington,WA,0,0,8388,53,7693612,231,48,1908985,104,45,0.2077922077922078,0.4326923076923077,0.2481259777592111,7-20%,28-45%,11-29%,6-39
ashland police department,Wisconsin,WI,0,1,7859,55,5832655,367,51,895887,118,50,0.13896457765667575,0.423728813559322,0.15359848988153765,7-20%,28-45%,11-29%,6-39
Martinsburg Police Department,West Virginia,WV,1,1,17494,54,1784787,200,18,305857,17,14,0.09,0.8235294117647058,0.17136890844677824,7-20%,28-45%,11-29%,6-39
Laramie Police Department,Wyoming,WY,1,1,32669,56,582328,53,11,280408,12,11,0.20754716981132076,0.9166666666666666,0.4815293099421632,7-20%,28-45%,11-29%,6-39
